symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
VOLTAS.NS,2023-03-31,3M,INR,30126300000.0,21918500000.0,-3187200000.0,60300000.0,-5613400000.0,11961500000.0,3037700000.0,346100000.0,330800000.0,6927200000.0,10966500000.0,2390100000.0,4537100000.0,330800000.0,54520700000.0,982500000.0,64464900000.0,92200000.0,5948200000.0,6040400000.0,46195400000.0,1660000000.0,75500000.0,14980100000.0,8116000000.0,723100000.0,785000000.0,27531900000.0,8631400000.0,924600000.0,15919700000.0,60680400000.0,0.0,27866200000.0,93800000.0,2611400000.0,820000000.0,253900000.0,211500000.0,465400000.0,2705200000.0,919700000.0,3791200000.0,416500000.0,5444200000.0,53735700000.0,105000000.0,355600000.0,52800000.0,1011300000.0,330884740.0,177800000.0,1699900000.0,54189900000.0,61900000.0,11500000.0,41700000.0,379400000.0,3967600000.0,10316900000.0,4039300000.0,31057700000.0,53200000.0,5008900000.0,0.0,7718100000.0,156600000.0,31502500000.0,330884740.0,54520700000.0,53735700000.0,102790100000.0,54732200000.0,6505800000.0,54937200000.0,47852900000.0,38325200000.0,1657500000.0,476500000.0,85600000.0,18269500000.0
VOLTAS.NS,2023-09-30,3M,INR,25221700000.0,15125600000.0,,,,30178200000.0,,327700000.0,330800000.0,6668500000.0,14188000000.0,,,330800000.0,57144500000.0,1503800000.0,59468900000.0,90500000.0,5225000000.0,5315500000.0,40745300000.0,1752900000.0,,,,723100000.0,779200000.0,,5525700000.0,,16001800000.0,62369500000.0,468300000.0,30178200000.0,,,,237200000.0,0.0,237200000.0,2050500000.0,931900000.0,,411300000.0,5525700000.0,56365300000.0,71700000.0,375400000.0,419700000.0,,330884740.0,3052600000.0,798800000.0,56813700000.0,56100000.0,1028800000.0,38300000.0,,4021900000.0,11100900000.0,7519500000.0,26214800000.0,,,,,,,330884740.0,57144500000.0,56365300000.0,100099000000.0,57144500000.0,5552700000.0,57555800000.0,42543200000.0,40630100000.0,1797900000.0,993100000.0,,18723600000.0
