symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
BIOCON.NS,2023-03-31,3M,INR,39831000000.0,35732000000.0,-51172000000.0,4390000000.0,-617000000.0,10071000000.0,25848000000.0,2481000000.0,6003000000.0,13232000000.0,28438000000.0,360000000.0,12872000000.0,6003000000.0,178669000000.0,27091000000.0,123340000000.0,390000000.0,24802000000.0,25192000000.0,85107000000.0,1486000000.0,14297000000.0,4000000.0,1454000000.0,174000000.0,15996000000.0,9000000.0,161362000000.0,266621000000.0,36349000000.0,153613000000.0,704000000.0,42437000000.0,356376000000.0,10245000000.0,3292000000.0,2091000000.0,152905000000.0,154996000000.0,1378000000.0,2265000000.0,93472000000.0,46219000000.0,164475000000.0,102441000000.0,-87952000000.0,2901000000.0,3010000000.0,3818000000.0,1653000000.0,1193987732.0,5880000000.0,2347000000.0,2740000000.0,105259000000.0,5380000000.0,1000000.0,25573000000.0,2650000000.0,3910000000.0,10143000000.0,15206000000.0,48172000000.0,5880000000.0,0.0,12729000000.0,6000000.0,160859000000.0,1200600000.0,178669000000.0,-87952000000.0,520428000000.0,331574000000.0,180188000000.0,224888000000.0,295540000000.0,397088000000.0,210433000000.0,5687000000.0,6583000000.0,6612268.0,971000000.0,13712000000.0,38233000000.0
BIOCON.NS,2023-09-30,3M,INR,43925000000.0,40332000000.0,,,,12766000000.0,,4285000000.0,6003000000.0,6444000000.0,39305000000.0,,,6003000000.0,189824000000.0,32600000000.0,140699000000.0,696000000.0,28165000000.0,28861000000.0,103664000000.0,1686000000.0,48000000.0,,2223000000.0,,,,163339000000.0,269719000000.0,,109221000000.0,1547000000.0,49108000000.0,368062000000.0,12766000000.0,,3589000000.0,150073000000.0,153662000000.0,1550000000.0,1052000000.0,,52950000000.0,171794000000.0,109221000000.0,-79895000000.0,,3789000000.0,3807000000.0,,1195883602.0,10407000000.0,5785000000.0,183821000000.0,106380000000.0,,2879000000.0,3411000000.0,,76621000000.0,,32861000000.0,46285000000.0,,,,,,1200600000.0,189824000000.0,-79895000000.0,545769000000.0,339897000000.0,182523000000.0,242774000000.0,302995000000.0,405070000000.0,199331000000.0,2360000000.0,,4716398.0,,,37035000000.0
