symbol,asOfDate,periodType,currencyCode,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermDebtAndCapitalLeaseObligation,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
FEDERALBNK.NS,2023-03-31,3M,INR,4232400000.0,178039300000.0,126042400000.0,4232400000.0,221224100000.0,479843900000.0,487022400000.0,487022400000.0,258619800000.0,3519700000.0,80580500000.0,9717100000.0,221224100000.0,2116201143.0,2116201143.0,221224100000.0,221224100000.0,2680040600000.0,479843900000.0,258619800000.0,224743800000.0,2455296800000.0
FEDERALBNK.NS,2023-09-30,3M,INR,4703200000.0,209184500000.0,150169700000.0,4703200000.0,268019800000.0,531618900000.0,549139200000.0,549139200000.0,263599100000.0,3867600000.0,54414600000.0,9832600000.0,268019800000.0,2351592652.0,2351592652.0,268019800000.0,268019800000.0,2960480800000.0,531618900000.0,263599100000.0,271887400000.0,2688593400000.0
