symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
HAL.NS,2023-03-31,3M,INR,31349700000.0,47190700000.0,81100000.0,17025700000.0,26500000.0,3343900000.0,44407700000.0,214358800000.0,3343900000.0,235721500000.0,6369000000.0,518850400000.0,1400000.0,0.0,1400000.0,308272700000.0,67783100000.0,0.0,22838500000.0,64355200000.0,121486900000.0,235721500000.0,300000.0,17025700000.0,25100000.0,0.0,25100000.0,1683300000.0,13471000000.0,37400000.0,64355200000.0,212883000000.0,11257100000.0,0.0,668775000.0,41891300000.0,185371400000.0,232377600000.0,22838500000.0,35965400000.0,109260000000.0,57986200000.0,93841600000.0,169951100000.0,34022500000.0,668775000.0,235721500000.0,212883000000.0,0.0,672038000000.0,235721500000.0,26500000.0,235758900000.0,436279100000.0,153187600000.0,128006400000.0,2672800000.0,210577700000.0
HAL.NS,2023-09-30,3M,INR,35538100000.0,50775200000.0,0.0,17122600000.0,10900000.0,3343900000.0,20209700000.0,228278400000.0,3343900000.0,251550500000.0,7861800000.0,561388000000.0,400000.0,0.0,400000.0,343363200000.0,67683100000.0,0.0,23819500000.0,65686200000.0,138844600000.0,251550500000.0,300000.0,17122600000.0,10500000.0,0.0,10500000.0,1732500000.0,13544300000.0,35600000.0,65686200000.0,227731000000.0,12984800000.0,0.0,668775000.0,50035100000.0,222478000000.0,248206600000.0,23819500000.0,35755800000.0,104696800000.0,57824400000.0,92470300000.0,208068700000.0,35538100000.0,668775000.0,251550500000.0,227731000000.0,984400000.0,718547900000.0,251550500000.0,10900000.0,251586100000.0,466961800000.0,157159900000.0,123598600000.0,0.0,218024800000.0
