symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,Payables,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable
L&TFH.NS,2023-03-31,3M,INR,8063900000.0,-1169800000.0,78720600000.0,27503900000.0,10900000.0,24796700000.0,89040700000.0,95700000.0,24796700000.0,215283700000.0,21000000.0,11700000.0,116158200000.0,134000000.0,1335800000.0,2313410000.0,1045718200000.0,3114900000.0,145406600000.0,145406600000.0,0.0,831049000000.0,1077510000.0,894400000.0,741393800000.0,1143610000.0,213947900000.0,2479671117.0,1410300000.0,1201800000.0,595500000.0,1204000000.0,10998700000.0,0.0,387800000.0,1716600000.0,62993000000.0,2479671117.0,215283700000.0,213947900000.0,6778400000.0,1063621400000.0,1045718200000.0,831049000000.0,216178100000.0,847443300000.0,2327600000.0
L&TFH.NS,2023-09-30,3M,INR,9792100000.0,,,132705100000.0,,24830700000.0,98470600000.0,,24830700000.0,221854200000.0,,,,134000000.0,1279500000.0,4111900000.0,987421700000.0,0.0,134514400000.0,134514400000.0,,766219500000.0,,898600000.0,667096900000.0,4111900000.0,220574700000.0,2483069511.0,197023500000.0,1145500000.0,,4111900000.0,11659600000.0,,,2614600000.0,,2483069511.0,221854200000.0,220574700000.0,4554400000.0,1009965200000.0,987421700000.0,766219500000.0,222752800000.0,787212400000.0,1867500000.0
