symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkingCapital
JSWENERGY.NS,2023-03-31,3M,INR,12740600000.0,15319200000.0,-81957600000.0,24003000000.0,-216600000.0,1016400000.0,48461800000.0,20506300000.0,2342600000.0,16446800000.0,34222900000.0,46642600000.0,6498300000.0,27724600000.0,16446800000.0,186288100000.0,57440400000.0,96241100000.0,123800000.0,56093200000.0,56217000000.0,0.0,90056200000.0,201900000.0,0.0,5800000.0,7786000000.0,702300000.0,6398200000.0,19641700000.0,15535800000.0,370048000000.0,0.0,9870800000.0,434460300000.0,49164100000.0,555100000.0,13138000000.0,2218800000.0,192079000000.0,194297800000.0,555100000.0,624100000.0,275272400000.0,1053700000.0,213949300000.0,288090400000.0,166646400000.0,0.0,216400000.0,3244400000.0,14028500000.0,2729100000.0,1640536238.0,84800000.0,41800000.0,650900000.0,13243500000.0,178700000.0,165400000.0,100000.0,54500000.0,6871700000.0,3690900000.0,10720700000.0,12419700000.0,20066300000.0,7851100000.0,0.0,9692100000.0,4333900000.0,96479800000.0,1644675668.0,186288100000.0,166646400000.0,487417000000.0,378367100000.0,250514800000.0,187341800000.0,300075200000.0,391175900000.0,210019000000.0,448200000.0,30400000.0,4139430.0,41400000.0,6184900000.0
JSWENERGY.NS,2023-09-30,3M,INR,10921800000.0,14727600000.0,,,,967100000.0,75009200000.0,,2321600000.0,16411300000.0,20902000000.0,42447100000.0,,,16411300000.0,198770700000.0,73411000000.0,76841100000.0,125800000.0,51334900000.0,51460700000.0,,85326100000.0,188800000.0,,,,,6398200000.0,25542900000.0,,329128700000.0,,6381600000.0,474280200000.0,75009200000.0,,,2195800000.0,224174600000.0,226370400000.0,635500000.0,730100000.0,,1045900000.0,254607500000.0,329128700000.0,173227800000.0,,,4391600000.0,13573500000.0,,1641133736.0,3979200000.0,756900000.0,182359400000.0,19144700000.0,,,10918900000.0,4445300000.0,,255717700000.0,8338500000.0,21545100000.0,11930000000.0,,,,,,1644675668.0,198770700000.0,173227800000.0,531068500000.0,422945300000.0,277831100000.0,199816600000.0,331251900000.0,454227400000.0,245925800000.0,1008200000.0,,3541932.0,,-8485000000.0
