symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TreasurySharesNumber,WorkingCapital
POLICYBZR.NS,2023-03-31,3M,INR,3061036000.0,6773094000.0,16800668000.0,2265892000.0,900233000.0,723404000.0,34001545000.0,900233000.0,54762997000.0,41222202000.0,328351000.0,328351000.0,5509157000.0,,377072000.0,435025000.0,2697819000.0,54762997000.0,16800668000.0,1937541000.0,1937541000.0,,84972000.0,2697819000.0,54327972000.0,100000.0,245582000.0,446369111.0,392797000.0,648779000.0,53862764000.0,57953000.0,20410000.0,2697819000.0,54766000.0,33278141000.0,3061036000.0,282414000.0,450116349.0,54762997000.0,54327972000.0,62540249000.0,54762997000.0,2265892000.0,54847969000.0,7692280000.0,21318047000.0,2183123000.0,3747238.0,35713045000.0
POLICYBZR.NS,2023-09-30,3M,INR,3083882000.0,6197246000.0,11300910000.0,2631915000.0,900233000.0,921724000.0,40270423000.0,900233000.0,56457869000.0,47105242000.0,355920000.0,355920000.0,5207315000.0,348016000.0,377072000.0,437575000.0,3260552000.0,56457869000.0,11300910000.0,2275995000.0,2275995000.0,256443000.0,73624000.0,3260552000.0,56020294000.0,0.0,,446369111.0,551866000.0,421937000.0,55557636000.0,60503000.0,26250000.0,3260552000.0,85707000.0,39348699000.0,3083882000.0,,450116349.0,56457869000.0,56020294000.0,64271246000.0,56457869000.0,2631915000.0,56531493000.0,7739753000.0,17166004000.0,2532438000.0,3747238.0,41897927000.0
