symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradingSecurities,WorkInProcess,WorkingCapital
ZYDUSLIFE.NS,2023-03-31,3M,INR,21250000000.0,44168000000.0,-45026000000.0,12000000.0,-250000000.0,82000000.0,2837000000.0,20748000000.0,317000000.0,1012000000.0,4878000000.0,12066000000.0,4878000000.0,1012000000.0,175158000000.0,11302000000.0,100164000000.0,119000000.0,11632000000.0,11751000000.0,1568000000.0,55307000000.0,3654000000.0,48000000.0,1827000000.0,15459000000.0,48044000000.0,58949000000.0,44418000000.0,113293000000.0,2686000000.0,34133000000.0,186790000000.0,6155000000.0,410000000.0,4166000000.0,1234000000.0,6258000000.0,198000000.0,0.0,198000000.0,5810000000.0,2718000000.0,74985000000.0,21725000000.0,6754000000.0,68267000000.0,116209000000.0,295000000.0,12624000000.0,1944000000.0,2718000000.0,3567000000.0,1012204139.0,186000000.0,510000000.0,174146000000.0,10905000000.0,2283000000.0,181000000.0,,2690000000.0,56965000000.0,1542000000.0,7188000000.0,23988000000.0,7296000000.0,0.0,11794000000.0,48000000.0,171898000000.0,1012204139.0,175158000000.0,116209000000.0,643000000.0,257564000000.0,175158000000.0,11949000000.0,196883000000.0,60681000000.0,157400000000.0,5374000000.0,1568000000.0,632000000.0,4597000000.0,44857000000.0
ZYDUSLIFE.NS,2023-09-30,3M,INR,16358000000.0,39152000000.0,,,,66000000.0,6785000000.0,,419000000.0,1012000000.0,3463000000.0,20175000000.0,,1012000000.0,187328000000.0,12200000000.0,99348000000.0,112000000.0,1500000000.0,1612000000.0,,43630000000.0,3784000000.0,,,,48044000000.0,58589000000.0,,69366000000.0,,33039000000.0,188828000000.0,6785000000.0,,4493000000.0,,,307000000.0,0.0,307000000.0,4493000000.0,3092000000.0,,22081000000.0,,69366000000.0,128739000000.0,,16915000000.0,1819000000.0,,,1012204139.0,6892000000.0,2573000000.0,186316000000.0,10545000000.0,,1895000000.0,13000000.0,,57166000000.0,24000000.0,16712000000.0,21321000000.0,,,,,,1012204139.0,187328000000.0,128739000000.0,,258794000000.0,187328000000.0,1919000000.0,209409000000.0,49385000000.0,159446000000.0,5755000000.0,4963000000.0,,,55718000000.0
