symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DividendsPayable,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,WorkingCapital
SJVN.NS,2023-03-31,3M,INR,467600000.0,2768400000.0,-36390200000.0,-40200000.0,162500000.0,104700000.0,16512100000.0,663900000.0,39298000000.0,3316500000.0,18192600000.0,638000000.0,2678500000.0,39298000000.0,138595400000.0,156738700000.0,48339400000.0,176900000.0,7450100000.0,7627000000.0,32600000.0,42689600000.0,5973100000.0,14800000.0,94300000.0,2808600000.0,277929500000.0,728000000.0,278524900000.0,104700000.0,11944900000.0,487000000.0,132479400000.0,132966400000.0,340900000.0,1790200000.0,35568600000.0,136613000000.0,241539300000.0,138501100000.0,267300000.0,4763300000.0,1790200000.0,16301400000.0,3929795175.0,13800000.0,686600000.0,99297400000.0,94300000.0,7961200000.0,7068300000.0,1375100000.0,3686300000.0,5993400000.0,14876100000.0,1857500000.0,1325100000.0,53478900000.0,728000000.0,19123000000.0,3929795175.0,138595400000.0,138501100000.0,323110000000.0,271074800000.0,140593400000.0,138595400000.0,184514600000.0,274770600000.0,141825000000.0,5649800000.0
SJVN.NS,2023-09-30,3M,INR,442900000.0,3287500000.0,,,163700000.0,4082000000.0,,644500000.0,39298000000.0,3104400000.0,46496200000.0,,,39298000000.0,143262700000.0,192259000000.0,52184700000.0,107500000.0,5314800000.0,5422300000.0,,42989200000.0,5743200000.0,,19000000.0,,277115200000.0,816100000.0,313198100000.0,4082000000.0,,537000000.0,164620600000.0,165157600000.0,331500000.0,1850100000.0,,166831000000.0,277115200000.0,143243700000.0,,4263200000.0,,,3929795175.0,1171700000.0,706300000.0,103964700000.0,19000000.0,23682900000.0,9332700000.0,,84856200000.0,249500000.0,43391800000.0,442900000.0,,,,,3929795175.0,143262700000.0,143243700000.0,362592400000.0,307883300000.0,170579900000.0,143262700000.0,219329700000.0,310407700000.0,176340500000.0,9195500000.0
