symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommercialPaper,CommonStock,CommonStockEquity,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,DerivativeProductLiabilities,GainsLossesNotAffectingRetainedEarnings,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentsAndAdvances,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NotesReceivable,OrdinarySharesNumber,OtherEquityInterest,OtherPayable,OtherProperties,Payables,PayablesAndAccruedExpenses,PrepaidAssets,Properties,Receivables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TreasurySharesNumber
ICICIBANK.NS,2023-03-31,3M,INR,33390137000.0,151100647000.0,-113555439000.0,4934898466000.0,13967750000.0,1635673702000.0,222049738000.0,86812982000.0,98022849000.0,13967750000.0,2144977893000.0,98022849000.0,98022849000.0,183764747000.0,2123401284000.0,1013318000.0,1013318000.0,223245475000.0,3980072296000.0,4954939106000.0,1737071554000.0,1737071554000.0,20040640000.0,195893671000.0,66867526000.0,199420701000.0,109690036000.0,2143964575000.0,497557667000.0,6982815731.0,7608859000.0,378867679000.0,128905038000.0,412257816000.0,412257816000.0,9009963000.0,94340437000.0,648658314000.0,6982815731.0,2144977893000.0,2143964575000.0,19584904970000.0,3882049447000.0,1835094403000.0,2211845419000.0,17373059551000.0,
ICICIBANK.NS,2023-06-30,3M,INR,,,,,13995400000.0,1274290200000.0,,688391400000.0,,13995400000.0,2260655600000.0,,,,2237499800000.0,1013300000.0,1013300000.0,,4090469700000.0,6927091400000.0,1829814100000.0,1829814100000.0,,,69971400000.0,555523900000.0,111542000000.0,2259642300000.0,,6996650422.0,9160400000.0,,,,,,,,6996650422.0,2260655600000.0,2259642300000.0,20398974000000.0,4090469700000.0,1829814100000.0,2330627000000.0,18068347000000.0,
ICICIBANK.NS,2023-09-30,3M,INR,,,,,14008300000.0,1291019500000.0,,662697600000.0,,14008300000.0,2318842100000.0,,,,2294053700000.0,1013300000.0,1013300000.0,,4215940000000.0,7152638400000.0,1897097900000.0,1897097900000.0,,,72036300000.0,606078400000.0,116576200000.0,2317828800000.0,,7003087787.0,10780100000.0,,,,,,,,7003087787.0,2318842100000.0,2317828800000.0,21248497500000.0,4215940000000.0,1897097900000.0,2390878400000.0,18857619100000.0,0.0
ICICIBANK.NS,2023-12-31,3M,INR,,,,,14031800000.0,1214492900000.0,,649351300000.0,,14031800000.0,2438305300000.0,,,,2411848000000.0,1013300000.0,1013300000.0,,4447974700000.0,7548649400000.0,2009669400000.0,2009669400000.0,,,74316400000.0,795176500000.0,119137700000.0,2437292000000.0,,7014826337.0,12425500000.0,,,,,,,,7014826337.0,2438305300000.0,2437292000000.0,22080184300000.0,4447974700000.0,2009669400000.0,2512621700000.0,19567562600000.0,0.0
