symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
ONGC.NS,2023-03-31,3M,INR,336426000000.0,187515800000.0,538300000.0,94215900000.0,130692600000.0,62901400000.0,26400000000.0,435561000000.0,62901400000.0,2806473000000.0,289473600000.0,1141505300000.0,46657300000.0,308260100000.0,354917400000.0,1322701700000.0,52487400000.0,120334100000.0,365839600000.0,3281722100000.0,442380700000.0,4098328600000.0,78700000.0,94215900000.0,84035300000.0,983595500000.0,1067630800000.0,536711500000.0,404230700000.0,206077400000.0,1265455600000.0,3281722100000.0,2440633400000.0,24145900000.0,321357900000.0,12580279206.0,69593300000.0,97590800000.0,2743571600000.0,245505500000.0,200325600000.0,34805600000.0,12498200000.0,1068209200000.0,4576100000.0,409161000000.0,340483500000.0,1924039300000.0,12580279206.0,2806473000000.0,2440633400000.0,1340100000.0,6145287300000.0,3790068500000.0,1422548200000.0,3012550400000.0,3132736900000.0,5003782000000.0,1810035200000.0,4057500000.0,-181196400000.0
ONGC.NS,2023-09-30,3M,INR,367891200000.0,202951400000.0,241200000.0,107642700000.0,280420100000.0,62901400000.0,57013800000.0,622973800000.0,62901400000.0,3096274000000.0,297717000000.0,1452854400000.0,58609900000.0,303955600000.0,362565500000.0,1454158300000.0,55487900000.0,121680000000.0,370183700000.0,3494882500000.0,543012100000.0,4250816300000.0,78700000.0,107642700000.0,221810200000.0,850586700000.0,1072396900000.0,528829800000.0,415846000000.0,267736500000.0,1097528500000.0,3494882500000.0,2726090300000.0,18985800000.0,351373700000.0,12580279206.0,79332500000.0,220277900000.0,3033372600000.0,248503700000.0,234176400000.0,34562100000.0,13662800000.0,1241947600000.0,4343400000.0,565960000000.0,372577400000.0,1955217900000.0,12580279206.0,3096274000000.0,2726090300000.0,0.0,6690819900000.0,3946860700000.0,1434962400000.0,3364010500000.0,3326809400000.0,5237965500000.0,1872651100000.0,4686200000.0,-1303900000.0
