symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,WorkingCapital
PETRONET.NS,2023-03-31,3M,INR,16443900000.0,38397000000.0,5935400000.0,33450100000.0,15000000000.0,626600000.0,68082100000.0,15000000000.0,152645600000.0,11258800000.0,118469700000.0,2745400000.0,0.0,2745400000.0,29004000000.0,1204700000.0,28500000.0,99133400000.0,11530500000.0,152645600000.0,5935400000.0,30704700000.0,0.0,30704700000.0,721200000.0,99133400000.0,152617100000.0,7026000000.0,1500000088.0,460100000.0,7355300000.0,137645600000.0,28500000.0,1607700000.0,7423400000.0,87874600000.0,67455500000.0,16443900000.0,1500000088.0,152645600000.0,152617100000.0,227524900000.0,152645600000.0,33450100000.0,152645600000.0,74879300000.0,109055200000.0,45875300000.0,89465700000.0
PETRONET.NS,2023-09-30,3M,INR,18881000000.0,35513400000.0,10802400000.0,31866200000.0,15000000000.0,18229600000.0,81798600000.0,15000000000.0,164854000000.0,12590500000.0,131603600000.0,2595400000.0,,2595400000.0,34738900000.0,601400000.0,26100000.0,97725300000.0,13604200000.0,164854000000.0,10802400000.0,29270800000.0,,29270800000.0,833900000.0,97725300000.0,164827900000.0,6853400000.0,1500000088.0,687400000.0,7654300000.0,149854000000.0,26100000.0,1588000000.0,7005400000.0,85134800000.0,63569000000.0,18881000000.0,1500000088.0,164854000000.0,164827900000.0,243556400000.0,164854000000.0,31866200000.0,164854000000.0,78702400000.0,111952800000.0,43963500000.0,96864700000.0
