symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
BALKRISIND.NS,2023-03-31,3M,INR,4921400000.0,11152700000.0,-30040800000.0,12621100000.0,17501400000.0,47800000.0,386600000.0,693000000.0,8439000000.0,693000000.0,386600000.0,75569300000.0,13916000000.0,39279500000.0,400000.0,23036600000.0,23037000000.0,33492700000.0,,636400000.0,31600000.0,692600000.0,5135800000.0,12800000.0,97076900000.0,347200000.0,16673700000.0,108986800000.0,707600000.0,12621100000.0,951000000.0,47400000.0,10380900000.0,10428300000.0,,61225100000.0,32724500000.0,67036100000.0,75556500000.0,625900000.0,2418500000.0,305400000.0,3061700000.0,193317190.0,,512800000.0,,12800000.0,,100000.0,3636200000.0,3483400000.0,194500000.0,7746000000.0,8613700000.0,42600000.0,854400000.0,0.0,10014900000.0,70300000.0,28103800000.0,193317190.0,75569300000.0,75556500000.0,1547700000.0,123476600000.0,85950200000.0,33465300000.0,75569300000.0,47907300000.0,84197100000.0,14414600000.0,24500000.0,1523000000.0,5786800000.0
BALKRISIND.NS,2023-09-30,3M,INR,5001600000.0,9758500000.0,,14717400000.0,,43900000.0,386600000.0,803900000.0,10935000000.0,,386600000.0,82250300000.0,13179000000.0,37715100000.0,100000.0,20588500000.0,20588600000.0,30590900000.0,70700000.0,,,,,18500000.0,69796700000.0,,13846300000.0,111366400000.0,661700000.0,14717400000.0,,43800000.0,8527600000.0,8571400000.0,318200000.0,,28312200000.0,69796700000.0,82231800000.0,,3055000000.0,,,193317190.0,3110700000.0,3298600000.0,81863700000.0,,2834600000.0,845000000.0,,56617700000.0,64600000.0,10131100000.0,5324800000.0,,,,,,,193317190.0,82250300000.0,82231800000.0,,125748000000.0,90777900000.0,29160000000.0,82250300000.0,43497700000.0,88032900000.0,12906800000.0,323200000.0,,7124200000.0
