symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
ADANIENT.NS,2023-03-31,3M,INR,286637700000.0,125528800000.0,-49180000000.0,109869400000.0,-1128500000.0,39396000000.0,143913000000.0,148808400000.0,1140000000.0,18823300000.0,60240200000.0,2754800000.0,16068500000.0,1140000000.0,330510100000.0,176989600000.0,370217300000.0,12962900000.0,57245400000.0,70208300000.0,448030500000.0,1210200000.0,856800000.0,2900000.0,62070800000.0,8871600000.0,126976200000.0,126657300000.0,730584300000.0,3094400000.0,69180500000.0,711777200000.0,683100000.0,39396000000.0,27309800000.0,135845500000.0,324021700000.0,459867200000.0,59747800000.0,4014900000.0,112960500000.0,48390400000.0,362443800000.0,681404300000.0,203533900000.0,53514800000.0,2093400000.0,29799100000.0,75665000000.0,1140001121.0,121100000.0,5469900000.0,11771200000.0,118104600000.0,242000000.0,8617600000.0,39389300000.0,221549400000.0,84862000000.0,41416900000.0,327044800000.0,25182600000.0,47862000000.0,2419400000.0,1169400000.0,155857300000.0,1140001121.0,330510100000.0,203533900000.0,838300000.0,1414878200000.0,654531800000.0,530075500000.0,378900500000.0,1035977700000.0,1044661100000.0,587947200000.0,1014900000.0,3235000000.0,4690300000.0,-77813200000.0
ADANIENT.NS,2023-09-30,3M,INR,238781500000.0,75857000000.0,,,,126124100000.0,,150427700000.0,1140000000.0,16403500000.0,106343800000.0,,,1140000000.0,366716500000.0,223485000000.0,360143500000.0,11738300000.0,77918100000.0,89656400000.0,450854600000.0,1334800000.0,,,,9038200000.0,157915900000.0,,736181800000.0,,75197600000.0,787735200000.0,2423900000.0,126124100000.0,,138689400000.0,343100600000.0,481790000000.0,,3995000000.0,,50685400000.0,404615200000.0,736181800000.0,208800600000.0,,1762700000.0,30029700000.0,,1140001121.0,50969300000.0,74937800000.0,365576500000.0,148877700000.0,73216600000.0,49588800000.0,,512696800000.0,51775800000.0,89940300000.0,240874600000.0,,,,,,1140001121.0,366716500000.0,208800600000.0,,1481501700000.0,709817100000.0,571446400000.0,417401900000.0,1064099800000.0,1121358200000.0,613245200000.0,2093100000.0,,,-90711100000.0
