symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
INDHOTEL.NS,2023-03-31,3M,INR,2395800000.0,4464500000.0,-26593500000.0,66356600000.0,-272200000.0,6900000.0,4960200000.0,67791400000.0,23207500000.0,1420400000.0,7363900000.0,17938100000.0,5524000000.0,1839900000.0,1420400000.0,79819600000.0,3241700000.0,25903400000.0,447400000.0,4872800000.0,5320200000.0,21191500000.0,1896300000.0,17200000.0,588400000.0,6536200000.0,12111200000.0,4736700000.0,105988100000.0,1092100000.0,88002200000.0,4960200000.0,2811000000.0,3699900000.0,8360100000.0,22760100000.0,3309800000.0,26069900000.0,6510900000.0,,26594900000.0,6600900000.0,818700000.0,79394600000.0,67708400000.0,283700000.0,1581800000.0,1567100000.0,1104400000.0,6099800000.0,1420400342.0,15900000.0,,,5575000000.0,47800000.0,,2034200000.0,,423100000.0,10574200000.0,4733000000.0,1677700000.0,1481700000.0,0.0,503700000.0,169500000.0,-1179300000.0,1420400342.0,79819600000.0,67708400000.0,311600000.0,136687500000.0,83129400000.0,31390100000.0,86420500000.0,50267000000.0,110784100000.0,29075500000.0,285800000.0,4711900000.0
INDHOTEL.NS,2023-09-30,3M,INR,4545400000.0,4837300000.0,,,,6900000.0,6593200000.0,,24272500000.0,1420400000.0,4231600000.0,14927900000.0,,,1420400000.0,82836200000.0,4019200000.0,22604800000.0,500100000.0,2418400000.0,2918500000.0,18740400000.0,2340400000.0,,,6574800000.0,12151400000.0,,81411300000.0,1190300000.0,85739900000.0,6593200000.0,,,,23772400000.0,485300000.0,24257700000.0,6813400000.0,1017100000.0,,6927200000.0,,81411300000.0,70684800000.0,,1322200000.0,1474800000.0,,1479100000.0,1420400342.0,1569100000.0,4747600000.0,81415800000.0,5576600000.0,3150400000.0,44100000.0,,77392100000.0,73300000.0,10696300000.0,4841900000.0,,,,,,,1420400342.0,82836200000.0,70684800000.0,,135613900000.0,83321500000.0,27176200000.0,89763400000.0,45850500000.0,113009100000.0,27110100000.0,296500000.0,3864400000.0
