symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
PRESTIGE.NS,2023-03-31,3M,INR,14514000000.0,13286000000.0,-10169000000.0,29581000000.0,-1264000000.0,194000000.0,14034000000.0,12991000000.0,4009000000.0,14564000000.0,16182000000.0,4568000000.0,9996000000.0,4009000000.0,99753000000.0,23987000000.0,239582000000.0,3489000000.0,47108000000.0,50597000000.0,214673000000.0,4771000000.0,4600000000.0,143503000000.0,534000000.0,581000000.0,14550000000.0,59108000000.0,0.0,143671000000.0,180961000000.0,42272000000.0,4794000000.0,5589000000.0,4213000000.0,9502000000.0,34100000000.0,43602000000.0,5589000000.0,363000000.0,16874000000.0,2832000000.0,66644000000.0,48939000000.0,99172000000.0,321000000.0,5582000000.0,3118000000.0,363000000.0,6428000000.0,400861654.0,22358000000.0,18439000000.0,95744000000.0,47000000.0,1179000000.0,321000000.0,3321000000.0,24952000000.0,25866000000.0,1618000000.0,20062000000.0,0.0,38599000000.0,0.0,168000000.0,1978000000.0,62862000000.0,400861654.0,99753000000.0,99172000000.0,365829000000.0,133853000000.0,94199000000.0,102585000000.0,263244000000.0,126247000000.0,48571000000.0,2227000000.0,24909000000.0
PRESTIGE.NS,2023-09-30,3M,INR,12710000000.0,9804000000.0,,,,14917000000.0,,15427000000.0,4009000000.0,15212000000.0,33625000000.0,,,4009000000.0,110326000000.0,26151000000.0,284056000000.0,2303000000.0,58683000000.0,60986000000.0,249067000000.0,3308000000.0,,,534000000.0,576000000.0,,52809000000.0,,198644000000.0,205490000000.0,43166000000.0,14917000000.0,,,13124000000.0,36481000000.0,49605000000.0,4847000000.0,393000000.0,,3704000000.0,79952000000.0,52809000000.0,109750000000.0,,5898000000.0,5237000000.0,,,400861654.0,32078000000.0,156619000000.0,106317000000.0,42000000.0,1369000000.0,270000000.0,,26658000000.0,9905000000.0,18413000000.0,13305000000.0,,,,,,,400861654.0,110326000000.0,109750000000.0,420138000000.0,146807000000.0,110591000000.0,114030000000.0,306108000000.0,136082000000.0,57041000000.0,595000000.0,34989000000.0
