symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,HedgingAssetsCurrent,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
POONAWALLA.NS,2023-03-31,3M,INR,20200000.0,206600000.0,-970900000.0,52476800000.0,12921600000.0,1104800000.0,133300000.0,895800000.0,1535900000.0,6013800000.0,13994300000.0,900000.0,6012900000.0,1535900000.0,68614000000.0,98793400000.0,159500000.0,57485100000.0,57644600000.0,3400000.0,73450800000.0,6400000.0,0.0,0.0,143000000.0,331100000.0,2723900000.0,0.0,179809800000.0,800000.0,1104800000.0,3000000.0,34690400000.0,736300000.0,53710700000.0,54447000000.0,76200000.0,1502100000.0,117700000.0,105182000000.0,1753000000.0,68282900000.0,476800000.0,1143900000.0,767947592.0,471700000.0,126500000.0,1187200000.0,188100000.0,215800000.0,107200000.0,768200000.0,1085500000.0,71199200000.0,7980500000.0,20200000.0,0.0,7047600000.0,767947592.0,68614000000.0,68282900000.0,1143900000.0,232206100000.0,122324700000.0,112091600000.0,68731700000.0,163474400000.0,133412700000.0,90023600000.0,3400000.0,,25342600000.0
POONAWALLA.NS,2023-09-30,3M,INR,29400000.0,218700000.0,,,507000000.0,5411600000.0,,995900000.0,1535900000.0,1651200000.0,1853800000.0,,,1535900000.0,78317100000.0,183398600000.0,,,,,1174500000.0,,,,0.0,208200000.0,1602400000.0,,190516400000.0,700000.0,5411600000.0,,,995900000.0,112199300000.0,113195200000.0,76200000.0,,0.0,110548100000.0,1602400000.0,78108900000.0,1528900000.0,,768427892.0,,,76781200000.0,208200000.0,4267900000.0,271400000.0,218800000.0,1602400000.0,179629400000.0,202600000.0,1174500000.0,,,768427892.0,78317100000.0,78108900000.0,1189700000.0,196689700000.0,190516400000.0,113195200000.0,78317100000.0,118372600000.0,13291100000.0,117198100000.0,1145100000.0,0.0,182224100000.0
