symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
ASIANPAINT.NS,2023-03-31,3M,INR,36673200000.0,46377400000.0,-33361300000.0,53700000.0,-3051300000.0,0.0,7802300000.0,26881000000.0,9604100000.0,959200000.0,5231000000.0,46312900000.0,583800000.0,4647200000.0,959200000.0,159922300000.0,10195900000.0,165351600000.0,2314700000.0,8960600000.0,11275300000.0,1636900000.0,78959300000.0,12300000.0,61200000.0,239900000.0,0.0,19200000.0,36113300000.0,2284800000.0,4158900000.0,49428700000.0,97102900000.0,23400000.0,8300000.0,62106400000.0,169644400000.0,7829800000.0,7817300000.0,7987100000.0,7289400000.0,761500000.0,8050900000.0,7817300000.0,2307000000.0,51244500000.0,4536600000.0,4491100000.0,63741600000.0,155763400000.0,400500000.0,186700000.0,3362300000.0,2293100000.0,5731500000.0,958840131.0,5539800000.0,5900000.0,267700000.0,1874100000.0,3345400000.0,214600000.0,26653600000.0,794400000.0,7545600000.0,41081900000.0,63566700000.0,729800000.0,2418000000.0,0.0,24122000000.0,567900000.0,113668400000.0,959197790.0,159922300000.0,155763400000.0,257980000000.0,160683800000.0,19326200000.0,164458900000.0,93521100000.0,92628400000.0,14561800000.0,1636900000.0,179200000.0,357659.0,1108900000.0,1871100000.0,86392300000.0
ASIANPAINT.NS,2023-09-30,3M,INR,39429100000.0,44469400000.0,,,,,12939800000.0,,12286800000.0,959200000.0,5530400000.0,53866200000.0,,,959200000.0,165619500000.0,19994800000.0,166428300000.0,2729200000.0,10390700000.0,13119900000.0,,83721600000.0,623100000.0,,,,,,3978700000.0,8008600000.0,,75021100000.0,,,60815600000.0,176600400000.0,12939800000.0,5759200000.0,,9557600000.0,590200000.0,10147800000.0,5759200000.0,2132400000.0,,6159600000.0,5450500000.0,75021100000.0,157610900000.0,,254800000.0,3614700000.0,,,958842215.0,7277100000.0,4078300000.0,164660300000.0,4029900000.0,3928300000.0,375900000.0,,55026300000.0,,48335800000.0,43207500000.0,,,,,,,959197790.0,165619500000.0,157610900000.0,274220100000.0,166209700000.0,23267700000.0,171779100000.0,102441000000.0,107791800000.0,18719400000.0,3778400000.0,,355575.0,,,82706700000.0
