symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
TVSMOTOR.NS,2023-03-31,3M,INR,50966700000.0,12322000000.0,-45117100000.0,-494900000.0,3654400000.0,11589400000.0,7493500000.0,475100000.0,18511900000.0,20636600000.0,18511900000.0,475100000.0,55050000000.0,3158100000.0,170072300000.0,1858400000.0,125621500000.0,127479900000.0,192187000000.0,1157400000.0,15900000.0,38800000.0,7657200000.0,5970500000.0,18605700000.0,12816900000.0,90049200000.0,19215100000.0,271312300000.0,1377000000.0,3654400000.0,5117300000.0,5635100000.0,90640800000.0,96275900000.0,4112300000.0,2312600000.0,59922100000.0,4048500000.0,197750400000.0,44932100000.0,36444300000.0,3057300000.0,2083700000.0,1720700000.0,475087114.0,131900000.0,8866500000.0,54574900000.0,12635200000.0,1111900000.0,371400000.0,4348600000.0,10262300000.0,108919600000.0,2124700000.0,55514600000.0,3107100000.0,3680300000.0,0.0,10933100000.0,75100000.0,43154200000.0,475087114.0,55050000000.0,36444300000.0,5091700000.0,352329100000.0,145690800000.0,223755800000.0,59098500000.0,293230600000.0,182256800000.0,101043600000.0,160500000.0,624800000.0,-22114700000.0
TVSMOTOR.NS,2023-09-30,3M,INR,63976000000.0,16156400000.0,,,6515100000.0,,7513600000.0,475100000.0,27917600000.0,32922500000.0,,475100000.0,63204700000.0,3141900000.0,209747900000.0,2073400000.0,121012400000.0,123085800000.0,202504700000.0,1508100000.0,,,,5970500000.0,19770900000.0,,45464000000.0,25593100000.0,306308600000.0,1377000000.0,6515100000.0,,5440200000.0,122091500000.0,127531700000.0,3176700000.0,2532800000.0,,6602200000.0,215186300000.0,45464000000.0,43433800000.0,3633700000.0,1982000000.0,,475087114.0,14476400000.0,8686700000.0,62729600000.0,13800400000.0,1082800000.0,332500000.0,,42322100000.0,120599400000.0,5004900000.0,64685900000.0,,,,,,,475087114.0,63204700000.0,43433800000.0,100000.0,404690600000.0,185296200000.0,250617500000.0,69806900000.0,334883700000.0,194942700000.0,132379000000.0,709900000.0,,7243200000.0
