symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
SYNGENE.NS,2023-03-31,3M,INR,2580000000.0,5293000000.0,-18196000000.0,2167000000.0,-83000000.0,2125000000.0,9028000000.0,2399000000.0,4014000000.0,870000000.0,13536000000.0,0.0,870000000.0,4014000000.0,36180000000.0,1923000000.0,24253000000.0,257000000.0,863000000.0,1120000000.0,11882000000.0,510000000.0,215000000.0,841000000.0,66000000.0,205000000.0,185000000.0,5376000000.0,46122000000.0,460000000.0,3328000000.0,41933000000.0,481000000.0,2191000000.0,1070000000.0,2142000000.0,4890000000.0,7032000000.0,437000000.0,34101000000.0,4883000000.0,27926000000.0,35995000000.0,2564000000.0,696000000.0,437000000.0,356000000.0,399591554.0,104000000.0,6566000000.0,654000000.0,185000000.0,249000000.0,2564000000.0,1091000000.0,26003000000.0,552000000.0,12666000000.0,3818000000.0,510000000.0,955000000.0,0.0,2390000000.0,25000000.0,29725000000.0,401434500.0,36180000000.0,35995000000.0,58310000000.0,41070000000.0,8152000000.0,36180000000.0,22130000000.0,34057000000.0,10248000000.0,147000000.0,1842946.0,47000000.0,733000000.0,12371000000.0
SYNGENE.NS,2023-09-30,3M,INR,2796000000.0,4188000000.0,,,,1282000000.0,,3131000000.0,4020000000.0,1683000000.0,15086000000.0,,,4020000000.0,38909000000.0,2360000000.0,23749000000.0,376000000.0,3785000000.0,4161000000.0,12259000000.0,735000000.0,33000000.0,1430000000.0,,,249000000.0,,29176000000.0,346000000.0,3204000000.0,44108000000.0,445000000.0,1282000000.0,,2755000000.0,1414000000.0,4169000000.0,364000000.0,,3516000000.0,29176000000.0,38660000000.0,,480000000.0,,,399613244.0,925000000.0,3387000000.0,34889000000.0,249000000.0,154000000.0,2728000000.0,,26816000000.0,,13403000000.0,2993000000.0,,,,,,,399613244.0,38909000000.0,38660000000.0,58462000000.0,40323000000.0,8330000000.0,38909000000.0,19553000000.0,34713000000.0,7294000000.0,197000000.0,,,,11490000000.0
