symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
MRF.NS,2023-03-31,3M,INR,25747900000.0,25032700000.0,-68092200000.0,98600000.0,-31600000.0,10988800000.0,42922600000.0,5841100000.0,42400000.0,2485100000.0,22862000000.0,489700000.0,1995400000.0,42400000.0,147076600000.0,30458600000.0,92436800000.0,754900000.0,16059200000.0,16814100000.0,74953200000.0,2335300000.0,0.0,27600000.0,141100000.0,20224900000.0,259400000.0,25064300000.0,199471100000.0,41410500000.0,171371600000.0,11129900000.0,6840100000.0,5086200000.0,8235800000.0,13322000000.0,2152500000.0,104704000000.0,1600000.0,21809900000.0,131378900000.0,146817200000.0,2206200000.0,3846300000.0,0.0,5743500000.0,4241143.0,432400000.0,17931800000.0,147034200000.0,259400000.0,100400000.0,3900000.0,3419400000.0,14545800000.0,449800000.0,20376900000.0,29231600000.0,1222700000.0,2149600000.0,0.0,17522800000.0,99800000.0,0.0,4241143.0,147076600000.0,146817200000.0,243694100000.0,155312400000.0,30136100000.0,147078200000.0,96615900000.0,151257300000.0,21662700000.0,36700000.0,131800000.0,3662800000.0,17483600000.0
MRF.NS,2023-09-30,3M,INR,24275600000.0,28383800000.0,,,,11531500000.0,,7064100000.0,42400000.0,2799800000.0,25003000000.0,,,42400000.0,158310800000.0,31733800000.0,97888900000.0,820900000.0,17050600000.0,17871500000.0,77032800000.0,2500600000.0,,,,,261100000.0,,141277100000.0,40519300000.0,182599900000.0,11531500000.0,,6243200000.0,7238500000.0,13481700000.0,2337100000.0,,1600000.0,21489300000.0,141277100000.0,158049700000.0,,4288000000.0,,,4241143.0,3917100000.0,25226100000.0,158268400000.0,261100000.0,4336900000.0,2638400000.0,,109543300000.0,65700000.0,22203200000.0,24319400000.0,,,,,,,4241143.0,158310800000.0,158049700000.0,258090400000.0,165549300000.0,31353200000.0,158312400000.0,99778000000.0,160201500000.0,22745200000.0,43800000.0,,,20856100000.0
