symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DerivativeProductLiabilities,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
BOSCHLTD.NS,2023-03-31,3M,INR,27253000000.0,19013000000.0,-28077000000.0,94000000.0,-515000000.0,11956000000.0,9530000000.0,532000000.0,295000000.0,3793000000.0,27466000000.0,1822000000.0,1971000000.0,295000000.0,110051000000.0,3655000000.0,88336000000.0,161000000.0,161000000.0,66000000.0,50235000000.0,7533000000.0,299000000.0,0.0,47000000.0,30782000000.0,12782000000.0,19528000000.0,43735000000.0,5000000.0,214000000.0,19029000000.0,110051000000.0,5310000000.0,42952000000.0,234000000.0,89000000.0,1177000000.0,371000000.0,371000000.0,323000000.0,1095000000.0,29373000000.0,15658000000.0,110051000000.0,3781000000.0,1095000000.0,467000000.0,29493640.0,792000000.0,6586000000.0,109756000000.0,3408000000.0,771000000.0,6211000000.0,12003000000.0,14852000000.0,23673000000.0,34244000000.0,3863000000.0,6489000000.0,0.0,5157000000.0,77000000.0,98231000000.0,29493640.0,110051000000.0,110051000000.0,547000000.0,162523000000.0,110051000000.0,532000000.0,110051000000.0,52472000000.0,74187000000.0,2237000000.0,733000000.0,771000000.0,1090000000.0,38101000000.0
BOSCHLTD.NS,2023-09-30,3M,INR,25155000000.0,19921000000.0,,,,43873000000.0,,460000000.0,295000000.0,3077000000.0,33717000000.0,,,295000000.0,115831000000.0,2045000000.0,93226000000.0,168000000.0,168000000.0,,46986000000.0,12016000000.0,,,,,,,13553000000.0,,,18939000000.0,115831000000.0,6493000000.0,43873000000.0,,,,292000000.0,292000000.0,339000000.0,1163000000.0,,13553000000.0,115831000000.0,3641000000.0,,,29493640.0,7195000000.0,5700000000.0,115536000000.0,2978000000.0,848000000.0,,11508000000.0,13454000000.0,30640000000.0,25155000000.0,,,,,,,29493640.0,115831000000.0,115831000000.0,,165120000000.0,115831000000.0,460000000.0,115831000000.0,49289000000.0,71894000000.0,2303000000.0,,,,46240000000.0
