symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DerivativeProductLiabilities,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
ADANIPOWER.NS,2023-03-31,3M,INR,30794500000.0,115293600000.0,-238410700000.0,74098300000.0,0.0,3193300000.0,18996900000.0,974800000.0,38569400000.0,3492300000.0,9607700000.0,0.0,3492300000.0,38569400000.0,298756600000.0,128795400000.0,195530000000.0,91600000.0,85494500000.0,85586100000.0,177445900000.0,216400000.0,0.0,0.0,727100000.0,1906100000.0,2026400000.0,115293600000.0,872644100000.0,2992700000.0,30752000000.0,719587600000.0,7049400000.0,3193300000.0,10853900000.0,883200000.0,335336500000.0,336219700000.0,2269500000.0,704856400000.0,0.0,417338700000.0,634233400000.0,296730200000.0,41831500000.0,,0.0,12027700000.0,3856938941.0,,32859100000.0,163074900000.0,120300000.0,,,16067000000.0,9141500000.0,501100000.0,6115400000.0,46866400000.0,1689500000.0,21138700000.0,0.0,30752000000.0,15244200000.0,4770800000.0,3856938941.0,298756600000.0,296730200000.0,858212700000.0,634093100000.0,421805800000.0,298756600000.0,559456100000.0,662682700000.0,382010200000.0,4900000.0,18084100000.0
ADANIPOWER.NS,2023-09-30,3M,INR,43953500000.0,105462500000.0,,,,14858300000.0,,1536600000.0,38569400000.0,8201600000.0,41955600000.0,,,38569400000.0,405093200000.0,4611300000.0,196019600000.0,120800000.0,71336400000.0,71457200000.0,174389200000.0,248200000.0,,,,1906100000.0,2010900000.0,,650654900000.0,,30736500000.0,727228900000.0,6951900000.0,14858300000.0,,1415800000.0,250799300000.0,252215100000.0,2079000000.0,,,313934100000.0,650654900000.0,403082300000.0,,13593100000.0,326300000.0,,3856938941.0,17836400000.0,30058300000.0,366523800000.0,104800000.0,13005100000.0,62984900000.0,,646043600000.0,28600000.0,33754000000.0,43953500000.0,,,,,,,3856938941.0,405093200000.0,403082300000.0,897093800000.0,655892500000.0,323672300000.0,405093200000.0,492000600000.0,701074200000.0,317611400000.0,0.0,21630400000.0
