symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradingSecurities,WorkInProcess,WorkingCapital
KALYANKJIL.NS,2023-03-31,3M,INR,11926890000.0,2442310000.0,-6635120000.0,16016600000.0,-25930000.0,1339100000.0,1635990000.0,1152700000.0,7869430000.0,10300530000.0,1409070000.0,1409070000.0,21000000.0,1388070000.0,10300530000.0,36347110000.0,200490000.0,85158370000.0,1226300000.0,35007730000.0,36234030000.0,63687150000.0,130580000.0,54515250000.0,50560000.0,103890000.0,2468240000.0,25153630000.0,163450000.0,70138750000.0,71432570000.0,611360000.0,43500000.0,1903980000.0,6643130000.0,77730000.0,6720860000.0,376540000.0,12316620000.0,-2290000.0,33676390000.0,18518510000.0,36243220000.0,561930000.0,376540000.0,854950000.0,1030053057.0,3260000.0,596110000.0,26046580000.0,53330000.0,539320000.0,222220000.0,9579840000.0,172180000.0,9038940000.0,12356370000.0,1080570000.0,0.0,4601940000.0,8409680000.0,8812750000.0,1030053057.0,36347110000.0,36243220000.0,107129370000.0,36424840000.0,42954890000.0,36344820000.0,70784550000.0,21971000000.0,7097400000.0,207260000.0,43500000.0,11021560000.0,21471220000.0
KALYANKJIL.NS,2023-09-30,3M,INR,13666310000.0,3835400000.0,,,,1339100000.0,2838280000.0,,9588320000.0,10300530000.0,2368210000.0,10505370000.0,,,10300530000.0,38529240000.0,322420000.0,89938560000.0,1461540000.0,34182610000.0,35644150000.0,67732790000.0,129340000.0,,50560000.0,98950000.0,,20006990000.0,,72631610000.0,72711850000.0,611360000.0,2838280000.0,,8126780000.0,0.0,8126780000.0,386670000.0,,-9420000.0,31814400000.0,20006990000.0,38430290000.0,682800000.0,,,1030053057.0,1627080000.0,17674940000.0,28228710000.0,48390000.0,589120000.0,,19684570000.0,,8137160000.0,13843540000.0,,,,,,1030053057.0,38529240000.0,38430290000.0,114766060000.0,38529240000.0,43770930000.0,38519820000.0,76246240000.0,24827500000.0,8513450000.0,177230000.0,,,22205770000.0
