symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,DerivativeProductLiabilities,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,Payables,PrepaidAssets,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber
BAJFINANCE.NS,2023-03-31,3M,INR,14521200000.0,-11294900000.0,174409800000.0,26982000000.0,13323100000.0,1210900000.0,41839600000.0,590700000.0,1210900000.0,543719800000.0,146000000.0,40100000.0,22500000.0,65236300000.0,32700000.0,6962900000.0,28206600000.0,2182515500000.0,93707100000.0,94651100000.0,944000000.0,2719100000.0,1644669400000.0,944000000.0,9247100000.0,1596956100000.0,16911700000.0,536756900000.0,604420832.0,5552600000.0,6930200000.0,6963100000.0,2771300000.0,22898900000.0,3414700000.0,16035700000.0,272200600000.0,605429233.0,543719800000.0,536756900000.0,1814300000.0,2752286700000.0,2182515500000.0,1644669400000.0,543719800000.0,2208566900000.0,1392100000.0,1008401.0
BAJFINANCE.NS,2023-09-30,3M,INR,19134500000.0,,,225683100000.0,,1210600000.0,75517900000.0,,1210600000.0,598744800000.0,152500000.0,141700000.0,,,32700000.0,7725900000.0,19289800000.0,2616019500000.0,226734100000.0,226734100000.0,,,2017274700000.0,,,1941756800000.0,19289800000.0,591018900000.0,605333038.0,597534200000.0,7693200000.0,5785900000.0,19137300000.0,31062100000.0,,16498700000.0,,605918538.0,598744800000.0,591018900000.0,2014300000.0,3219170300000.0,2616019500000.0,2017274700000.0,598744800000.0,2620425500000.0,6141700000.0,585500.0
