symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,Payables,PrepaidAssets,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable
LICHSGFIN.NS,2023-03-31,3M,INR,6853100000.0,-1947000000.0,40475200000.0,46262500000.0,1408700000.0,1100800000.0,8437700000.0,806600000.0,1100800000.0,271846700000.0,8400000.0,95200000.0,23703700000.0,2100000.0,364500000.0,5475600000.0,2609606300000.0,69966200000.0,70525800000.0,559600000.0,186900000.0,2339600500000.0,559600000.0,789100000.0,31900000.0,2329321900000.0,3528600000.0,271482200000.0,550063000.0,270745900000.0,362400000.0,39770200000.0,3082500000.0,46757200000.0,624100000.0,57200000.0,54374400000.0,550063000.0,271846700000.0,271482200000.0,977500000.0,2785589700000.0,2609606300000.0,2339600500000.0,271878600000.0,2513711100000.0,38700000.0
LICHSGFIN.NS,2023-09-30,3M,INR,535000000.0,,,60362000000.0,,1100800000.0,16577000000.0,,1100800000.0,292252500000.0,5100000.0,,,2100000.0,323400000.0,3583900000.0,2617721300000.0,60362000000.0,60362000000.0,,,2327285000000.0,,,32500000.0,2308891800000.0,3583900000.0,291929100000.0,550063000.0,291151700000.0,321300000.0,,3578800000.0,2532300000.0,,600000.0,,550063000.0,292252500000.0,291929100000.0,0.0,2819371800000.0,2617721300000.0,2327285000000.0,292285000000.0,2527086800000.0,1997300000.0
