symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
PATANJALI.NS,2023-03-31,3M,INR,13466864000.0,15976351000.0,-13216743000.0,47543578000.0,-13157329000.0,36756000.0,183598000.0,7801726000.0,7609000.0,723837000.0,8030977000.0,8214555000.0,5850000000.0,2180977000.0,723837000.0,98465667000.0,795925000.0,78284480000.0,1538000.0,13755087000.0,13756625000.0,32036536000.0,20760000.0,1517000.0,12894911000.0,108242000.0,15650614000.0,29133680000.0,49843005000.0,12591000.0,25000.0,40699786000.0,113002009000.0,183623000.0,15426000.0,16894718000.0,6071000.0,781255000.0,787326000.0,15426000.0,142226000.0,18853757000.0,6505365000.0,36626262000.0,82815053000.0,0.0,40434000.0,532766000.0,142226000.0,1061177000.0,361918552.0,97141000.0,408871000.0,97741830000.0,15542372000.0,1957842000.0,883690000.0,40434000.0,2653270000.0,5496879000.0,6622504000.0,183578000.0,16121651000.0,20760000.0,2362683000.0,0.0,24782738000.0,3374222000.0,44893567000.0,361994853.0,98465667000.0,82815053000.0,887891000.0,132435856000.0,99246922000.0,14543951000.0,98465667000.0,33970189000.0,54151376000.0,1933653000.0,76913000.0,76301.0,1064295000.0,46247944000.0
PATANJALI.NS,2023-09-30,3M,INR,18574923000.0,9841019000.0,,,,36757000.0,635356000.0,,6862000.0,723837000.0,2569567000.0,22699856000.0,,,723837000.0,102043815000.0,884120000.0,84502404000.0,1664000.0,11802459000.0,11804123000.0,34592672000.0,27495000.0,,,108242000.0,15592818000.0,,35745522000.0,,,47303163000.0,114665742000.0,635356000.0,,,5198000.0,819468000.0,824666000.0,,182663000.0,,10052360000.0,35745522000.0,86450997000.0,,,857395000.0,,,361994853.0,4621609000.0,1581585000.0,101319978000.0,15484576000.0,,986213000.0,42323000.0,,34861402000.0,,20130289000.0,18574923000.0,,,,,,,361994853.0,102043815000.0,86450997000.0,,138521894000.0,102863283000.0,12628789000.0,102043815000.0,36478079000.0,54019490000.0,1885407000.0,,,,49909732000.0
