symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,WorkingCapital
MAZDOCK.NS,2023-03-31,3M,INR,44633600000.0,10023300000.0,-4022400000.0,1212300000.0,-7527500000.0,3200000.0,1205900000.0,3741000000.0,60400000.0,2016900000.0,18684200000.0,132864200000.0,15159900000.0,3524300000.0,2016900000.0,47601600000.0,616200000.0,260851900000.0,57300000.0,57300000.0,241398500000.0,1741300000.0,700000.0,1347600000.0,173600000.0,17550800000.0,14707600000.0,73568600000.0,47601600000.0,1205900000.0,5886000000.0,3913500000.0,3100000.0,3100000.0,5886000000.0,4108500000.0,5084500000.0,10685200000.0,47428000000.0,1334700000.0,4501000000.0,164800000.0,201690000.0,39346300000.0,300000.0,45584700000.0,173600000.0,71187000000.0,24600000.0,300000.0,347800000.0,1352400000.0,5046300000.0,114180000000.0,44982100000.0,1235700000.0,39346300000.0,0.0,1034000000.0,21656000000.0,201690000.0,47601600000.0,47428000000.0,294631700000.0,47601600000.0,60400000.0,47601600000.0,247030100000.0,33779800000.0,5631600000.0,180200000.0,19453400000.0
MAZDOCK.NS,2023-09-30,3M,INR,38426300000.0,9356400000.0,,,,3400000.0,7711400000.0,,29600000.0,2016900000.0,13435600000.0,142289200000.0,,,2016900000.0,54143100000.0,718500000.0,249049100000.0,26100000.0,26100000.0,223836300000.0,1757300000.0,,,178700000.0,,10546700000.0,60812000000.0,54143100000.0,7711400000.0,,,3500000.0,3500000.0,,4262800000.0,,10546700000.0,53964400000.0,,4724300000.0,,201690000.0,33569800000.0,74700000.0,52126200000.0,178700000.0,,8372400000.0,1300600000.0,,9828200000.0,3018300000.0,128853600000.0,38426300000.0,,,,,,201690000.0,54143100000.0,53964400000.0,283754100000.0,54143100000.0,29600000.0,54143100000.0,229611000000.0,34705000000.0,5774700000.0,202100000.0,25212800000.0
