symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccruedInterestReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAccruedExpenses,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentDeferredLiabilities,CurrentDeferredRevenue,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,DuefromRelatedPartiesCurrent,EmployeeBenefits,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GainsLossesNotAffectingRetainedEarnings,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LineOfCredit,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccountsReceivable,NonCurrentDeferredAssets,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentBorrowings,OtherCurrentLiabilities,OtherEquityAdjustments,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherReceivables,OtherShortTermInvestments,Payables,PayablesAndAccruedExpenses,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,Receivables,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkingCapital
WIPRO.NS,2023-03-31,3M,INR,21728000000.0,126350000000.0,386000000.0,-127988000000.0,3689000000.0,15669000000.0,75646000000.0,24573000000.0,10976000000.0,91880000000.0,401866000000.0,91880000000.0,10976000000.0,781164000000.0,6323000000.0,67326000000.0,661096000000.0,8620000000.0,88821000000.0,97441000000.0,1037000000.0,24700000000.0,24700000000.0,267753000000.0,2549000000.0,179000000.0,0.0,1534000000.0,2947000000.0,29000000.0,5073000000.0,1158000000.0,46803000000.0,307970000000.0,351015000000.0,235349000000.0,1844000000.0,1188000000.0,931257000000.0,20742000000.0,21522000000.0,6138000000.0,19000000.0,15953000000.0,61272000000.0,77225000000.0,780000000.0,147242000000.0,589000000.0,58213000000.0,107361000000.0,430149000000.0,17527000000.0,5297000000.0,15153000000.0,2100000000.0,15153000000.0,6941000000.0,5478021905.0,1464000000.0,88802000000.0,22008000000.0,46803000000.0,58732000000.0,43045000000.0,,5034000000.0,9035000000.0,89188000000.0,309986000000.0,40574000000.0,107900000000.0,13155000000.0,23219000000.0,0.0,30000000.0,230478000000.0,,660964000000.0,5487917741.0,781164000000.0,430149000000.0,13020000000.0,1175822000000.0,842436000000.0,174666000000.0,781753000000.0,394069000000.0,514726000000.0,126316000000.0,18846000000.0,21777000000.0,9895836.0,393343000000.0
WIPRO.NS,2023-06-30,3M,INR,80735000000.0,114457000000.0,635000000.0,-129164000000.0,4155000000.0,15664000000.0,76334000000.0,24785000000.0,10978000000.0,83616000000.0,435316000000.0,83616000000.0,10978000000.0,669029000000.0,6757000000.0,,691108000000.0,8706000000.0,88712000000.0,97418000000.0,1029000000.0,22169000000.0,22169000000.0,402667000000.0,2400000000.0,45000000.0,,1435000000.0,3214000000.0,193000000.0,5136000000.0,1342000000.0,45891000000.0,306970000000.0,348125000000.0,234076000000.0,3297000000.0,1375000000.0,818938000000.0,20800000000.0,21582000000.0,6137000000.0,24000000.0,16079000000.0,61197000000.0,77276000000.0,782000000.0,144848000000.0,624000000.0,66293000000.0,104912000000.0,320904000000.0,18191000000.0,4863000000.0,15772000000.0,1942000000.0,15772000000.0,6435000000.0,5478946157.0,1365000000.0,88688000000.0,138017000000.0,45891000000.0,62307000000.0,41155000000.0,,5206000000.0,8484000000.0,95239000000.0,351700000000.0,126611000000.0,126611000000.0,16052000000.0,22779000000.0,0.0,33000000.0,222947000000.0,3000000000.0,545698000000.0,5488841993.0,669029000000.0,320904000000.0,11181000000.0,1200615000000.0,730226000000.0,174694000000.0,669653000000.0,530962000000.0,509507000000.0,128295000000.0,45876000000.0,23504000000.0,9895836.0,288441000000.0
WIPRO.NS,2023-09-30,3M,INR,78857000000.0,108146000000.0,927000000.0,-130536000000.0,1732000000.0,15747000000.0,75125000000.0,23144000000.0,10444000000.0,97896000000.0,337985000000.0,97896000000.0,10444000000.0,698911000000.0,7435000000.0,,585043000000.0,8348000000.0,94060000000.0,102408000000.0,991000000.0,17602000000.0,17602000000.0,255792000000.0,2250000000.0,40000000.0,,1197000000.0,3354000000.0,151000000.0,5382000000.0,1251000000.0,44941000000.0,309732000000.0,347841000000.0,230665000000.0,1999000000.0,1281000000.0,854942000000.0,21129000000.0,22392000000.0,5649000000.0,94060000000.0,14796000000.0,61971000000.0,76767000000.0,761000000.0,142456000000.0,823000000.0,58135000000.0,100129000000.0,351070000000.0,16551000000.0,5120000000.0,15315000000.0,2219000000.0,15315000000.0,4760000000.0,5214490080.0,1666000000.0,,16671000000.0,44941000000.0,64307000000.0,38109000000.0,502000000.0,4343000000.0,9280000000.0,95110000000.0,240089000000.0,100229000000.0,100229000000.0,16632000000.0,24646000000.0,0.0,30000000.0,216475000000.0,,577487000000.0,5221800302.0,698911000000.0,351070000000.0,11095000000.0,1086330000000.0,760882000000.0,179175000000.0,699734000000.0,386596000000.0,501287000000.0,130804000000.0,21372000000.0,26048000000.0,7310222.0,329251000000.0
