symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
CIPLA.NS,2023-03-31,3M,INR,24828600000.0,40570000000.0,-45847000000.0,16527700000.0,-1253000000.0,4698900000.0,4826400000.0,31161700000.0,2827600000.0,1614300000.0,6276300000.0,62630600000.0,837300000.0,5439000000.0,1614300000.0,234077800000.0,6891700000.0,172749500000.0,739400000.0,5321400000.0,6060800000.0,51096700000.0,12866700000.0,392400000.0,111400000.0,0.0,26440400000.0,29838600000.0,45140000000.0,41823000000.0,102646500000.0,92100000.0,51564300000.0,239399200000.0,598300000.0,4826400000.0,909000000.0,2505700000.0,2088200000.0,0.0,2088200000.0,909000000.0,1021600000.0,62087400000.0,3057600000.0,56799500000.0,188937800000.0,521100000.0,4565400000.0,1632800000.0,1021600000.0,2834600000.0,807150593.0,72900000.0,523000000.0,618200000.0,15301400000.0,-1439500000.0,2581700000.0,204100000.0,4530500000.0,49907800000.0,2521800000.0,56354300000.0,29636300000.0,10519100000.0,0.0,17927200000.0,152700000.0,180570300000.0,807150593.0,234077800000.0,188937800000.0,294632800000.0,234077800000.0,8149000000.0,237135400000.0,57497400000.0,121883300000.0,6400700000.0,165800000.0,8636200000.0,121652800000.0
CIPLA.NS,2023-09-30,3M,INR,26753500000.0,48498000000.0,,,,5393500000.0,7774300000.0,,2871000000.0,1614700000.0,7998400000.0,71746500000.0,,,1614700000.0,248254000000.0,7913500000.0,190074700000.0,710100000.0,6737900000.0,7448000000.0,56484800000.0,13561600000.0,,,,,29658400000.0,44637900000.0,,56099400000.0,,54701200000.0,254991900000.0,1148600000.0,7774300000.0,909500000.0,,2160900000.0,,2160900000.0,909500000.0,1115400000.0,,2697600000.0,56099400000.0,203616100000.0,,4876700000.0,1412400000.0,,,807325429.0,9732500000.0,2991700000.0,246639300000.0,14979500000.0,,2880600000.0,576900000.0,,48185900000.0,3000000.0,63748100000.0,28503100000.0,,,,,,807325429.0,248254000000.0,203616100000.0,313770900000.0,248254000000.0,9608900000.0,250951600000.0,62819300000.0,123696200000.0,6334500000.0,1749600000.0,,133589900000.0
