symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,FixedAssetsRevaluationReserve,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherPayable,OtherProperties,Payables,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
BANKINDIA.NS,2023-03-31,3M,INR,25651647000.0,-40533717000.0,162545324000.0,19935443000.0,41043052000.0,843953185000.0,132593592000.0,21343258000.0,41043052000.0,589706140000.0,1085725000.0,68960298000.0,140143736000.0,1212576372000.0,2017197751000.0,2043978771000.0,26781020000.0,622870232000.0,26781020000.0,1565100000.0,99610019000.0,589706140000.0,4103566070.0,16225591000.0,47786619000.0,41877238000.0,68610640000.0,91271392000.0,398435876000.0,36626670000.0,4103566070.0,589706140000.0,589706140000.0,8155556143000.0,1212576372000.0,622870232000.0,589706140000.0,7565850003000.0
BANKINDIA.NS,2023-09-30,3M,INR,,,,,41043100000.0,829436800000.0,,408185700000.0,41043100000.0,624456200000.0,,,,1278419400000.0,2183266300000.0,2183266300000.0,,653963200000.0,,1636900000.0,102210800000.0,624456200000.0,4103566070.0,,,,,,,,4103566070.0,624456200000.0,624456200000.0,8636694700000.0,1278419400000.0,653963200000.0,626093100000.0,8010601600000.0
BANKINDIA.NS,2023-12-31,3M,INR,,,,,45534100000.0,791703900000.0,,400765100000.0,45534100000.0,689313600000.0,,,,1447348800000.0,2185729500000.0,2185729500000.0,,758035200000.0,,1654300000.0,102537200000.0,689313600000.0,4552667866.0,,,,,,,,4552667866.0,689313600000.0,689313600000.0,8843051100000.0,1447348800000.0,758035200000.0,690967900000.0,8152083200000.0
