symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
COLPAL.NS,2023-03-31,3M,INR,7611240000.0,1573661000.0,-11679134000.0,127993000.0,-59202000.0,185300000.0,4394487000.0,689615000.0,271986000.0,8060568000.0,8060568000.0,7963632000.0,96936000.0,271986000.0,17163843000.0,1140768000.0,15478836000.0,122209000.0,122209000.0,10846354000.0,905100000.0,330819000.0,1952517000.0,1632863000.0,21437894000.0,3354496000.0,17163843000.0,185300000.0,567406000.0,567406000.0,235900000.0,14490040000.0,9758760000.0,17163843000.0,288426000.0,235905000.0,290809000.0,271985634.0,381100000.0,1278900000.0,-45113000.0,130400000.0,4000000.0,1233318000.0,1412599000.0,48607000.0,1233000000.0,9726948000.0,905111000.0,1272120000.0,0.0,1201022000.0,1169384000.0,12965264000.0,271985634.0,17163843000.0,17163843000.0,28829893000.0,17163843000.0,689615000.0,17163843000.0,11666050000.0,13351057000.0,819696000.0,551571000.0,4015000.0,200957000.0,4632482000.0
COLPAL.NS,2023-09-30,3M,INR,9006600000.0,1532000000.0,,,,169500000.0,,686700000.0,272000000.0,8554500000.0,12906500000.0,,,272000000.0,17632100000.0,1234800000.0,18019900000.0,99900000.0,99900000.0,12668600000.0,964800000.0,,,,9385500000.0,3082700000.0,17632100000.0,169500000.0,586800000.0,586800000.0,174600000.0,,9385500000.0,17632100000.0,432700000.0,,,271985634.0,431900000.0,1171500000.0,17360100000.0,83000000.0,4200000.0,,8150700000.0,66800000.0,4352000000.0,10008100000.0,,,,,,,271985634.0,17632100000.0,17632100000.0,31079300000.0,17632100000.0,686700000.0,17632100000.0,13447200000.0,13059400000.0,778600000.0,1001500000.0,,,5351300000.0
