symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,DerivativeProductLiabilities,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,ReceivablesAdjustmentsAllowances,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable
ABCAPITAL.NS,2023-03-31,3M,INR,28766200000.0,4110800000.0,-4424200000.0,61099100000.0,6098000000.0,7441800000.0,6167600000.0,24179900000.0,17307900000.0,139437600000.0,24179900000.0,203107500000.0,86200000.0,3085700000.0,92097800000.0,95183500000.0,136900000.0,59700000.0,80539500000.0,5548300000.0,7585900000.0,9922400000.0,1044202900000.0,143700000.0,335637700000.0,500805600000.0,43038200000.0,1500000.0,3081900000.0,748997600000.0,752079500000.0,43038200000.0,2640400000.0,1931900000.0,15093200000.0,823787500000.0,5498200000.0,195521600000.0,709300000.0,4767300000.0,4015400000.0,2417994042.0,2341800000.0,2037600000.0,4135000000.0,461000000.0,3156100000.0,122129700000.0,34759000000.0,112000000.0,1130100000.0,-8900000.0,95901200000.0,2417994042.0,203107500000.0,195521600000.0,2990000000.0,1807540500000.0,952105100000.0,847263000000.0,218200700000.0,1589339800000.0,1857800000.0
ABCAPITAL.NS,2023-09-30,3M,INR,11255500000.0,3953500000.0,,,115534900000.0,,5463700000.0,25988200000.0,18105800000.0,18105800000.0,25988200000.0,247657600000.0,132100000.0,,,,494200000.0,260100000.0,,5548300000.0,7760000000.0,7121300000.0,1234091300000.0,141500000.0,115795000000.0,159292300000.0,43497300000.0,,5463700000.0,986433700000.0,991897400000.0,43497300000.0,2775300000.0,,16830100000.0,968327900000.0,7121300000.0,239897600000.0,,5046200000.0,4306400000.0,2598821244.0,,2211700000.0,,6989200000.0,,,14147600000.0,,,,,2598821244.0,247657600000.0,239897600000.0,1885900000.0,2059723000000.0,1234091300000.0,991897400000.0,264487700000.0,1795235300000.0,2892100000.0
