symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
DABUR.NS,2023-03-31,3M,INR,21866100000.0,8487500000.0,-18697900000.0,5209500000.0,-272800000.0,0.0,40941700000.0,12794600000.0,1747700000.0,1771800000.0,1468100000.0,10516500000.0,338200000.0,1129900000.0,1771800000.0,89732600000.0,1751300000.0,42489600000.0,304100000.0,7001800000.0,7305900000.0,1316800000.0,36094300000.0,2140100000.0,91400000.0,8980100000.0,4052500000.0,12939800000.0,8760300000.0,42825400000.0,14318000000.0,20242000000.0,99722800000.0,470500000.0,55259700000.0,78400000.0,1413500000.0,1443600000.0,2988400000.0,4432000000.0,78400000.0,643700000.0,26866000000.0,4681700000.0,8522100000.0,24127500000.0,76792800000.0,1500000.0,20900000.0,909900000.0,643700000.0,1148200000.0,1771763464.0,-700000.0,13700000.0,590800000.0,8887300000.0,900000.0,3258800000.0,22376200000.0,153800000.0,9048400000.0,25216300000.0,2984400000.0,0.0,9670300000.0,106100000.0,81253300000.0,1771763464.0,89732600000.0,76792800000.0,64300000.0,136543700000.0,92721000000.0,11737900000.0,94414300000.0,42129400000.0,94054100000.0,6035100000.0,1316800000.0,1591600000.0,6395300000.0
DABUR.NS,2023-09-30,3M,INR,23636000000.0,11549600000.0,,,,,51723100000.0,,1781100000.0,1772000000.0,2418100000.0,21881600000.0,,,1772000000.0,94874600000.0,2587300000.0,56629000000.0,210300000.0,7691100000.0,7901400000.0,,39581200000.0,2284300000.0,,,4051700000.0,12525100000.0,,25171800000.0,,18951300000.0,107984000000.0,465400000.0,51723100000.0,81300000.0,,1570800000.0,5418300000.0,6989100000.0,81300000.0,663500000.0,,4528800000.0,10691300000.0,25171800000.0,82349500000.0,,35000000.0,1034000000.0,,,1772034671.0,4236600000.0,1319800000.0,93102600000.0,8473400000.0,1003400000.0,,22584500000.0,,19463500000.0,25390900000.0,,,,,,1772034671.0,94874600000.0,82349500000.0,9900000.0,147674000000.0,100292900000.0,14890500000.0,99403400000.0,48270600000.0,91045000000.0,8689400000.0,1754900000.0,,17047800000.0
