symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock
BAJAJFINSV.NS,2023-03-31,3M,INR,52052800000.0,34586400000.0,-21029500000.0,96765300000.0,58778600000.0,10898200000.0,8236900000.0,1592600000.0,25936200000.0,608724100000.0,1592600000.0,464073400000.0,618400000.0,123533200000.0,123533200000.0,1198600000.0,27200000.0,2265000000.0,726153000000.0,6893400000.0,15552200000.0,50401600000.0,2131830600000.0,348500000.0,787196600000.0,1371057700000.0,1073200000.0,6726800000.0,8236900000.0,1544224000000.0,1552460900000.0,1073200000.0,3417900000.0,13590600000.0,311907400000.0,1641821000000.0,29372100000.0,448521200000.0,10235600000.0,1080400000.0,635400000.0,1590774459.0,4708900000.0,8658800000.0,20959400000.0,18567600000.0,17286800000.0,582787900000.0,85340600000.0,438000000.0,300784100000.0,1592815460.0,464073400000.0,448521200000.0,10268100000.0,4055091900000.0,2008297400000.0,1675994100000.0,775980800000.0,3279111100000.0,12301200000.0,2041001.0,1174800000.0
BAJAJFINSV.NS,2023-09-30,3M,INR,73569800000.0,58450000000.0,,,1611612400000.0,,10179100000.0,1592600000.0,44591400000.0,44591400000.0,1592600000.0,508726900000.0,730200000.0,,,804100000.0,,3056700000.0,,6893400000.0,16448300000.0,32522700000.0,2465859800000.0,342800000.0,1614669100000.0,1614798600000.0,129500000.0,,10179100000.0,1957132900000.0,1967312000000.0,129500000.0,4848200000.0,,340707100000.0,1912541500000.0,32522700000.0,492278600000.0,11481800000.0,2028200000.0,,1591544822.0,507134300000.0,9554900000.0,13935200000.0,31792500000.0,,,98233400000.0,,,1595488813.0,508726900000.0,492278600000.0,2673600000.0,4693241800000.0,2465859800000.0,1967312000000.0,849434000000.0,3843807800000.0,10728400000.0,3943991.0,
