symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherInvestments,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
MCDOWELL-N.NS,2023-03-31,3M,INR,17825000000.0,24340000000.0,-10337000000.0,46381000000.0,-1212000000.0,1409000000.0,4655000000.0,1822000000.0,1455000000.0,1151000000.0,12230000000.0,1151000000.0,1455000000.0,59995000000.0,668000000.0,62346000000.0,1022000000.0,8000000.0,1030000000.0,3392000000.0,36243000000.0,3731000000.0,1000000.0,200000000.0,9397000000.0,13000000.0,3740000000.0,25552000000.0,22514000000.0,22300000000.0,60006000000.0,253000000.0,1609000000.0,101000000.0,2577000000.0,800000000.0,3000000.0,803000000.0,101000000.0,123000000.0,14614000000.0,0.0,12177000000.0,56255000000.0,1573000000.0,451000000.0,53000000.0,710055403.0,2792000000.0,7982000000.0,55000000.0,3727000000.0,2259000000.0,301000000.0,2407000000.0,5932000000.0,11509000000.0,501000000.0,11079000000.0,26587000000.0,129000000.0,0.0,4626000000.0,54000000.0,-3080000000.0,727350853.0,59995000000.0,56255000000.0,97615000000.0,59998000000.0,1833000000.0,59995000000.0,37620000000.0,35269000000.0,1377000000.0,2829000000.0,17295450.0,1197000000.0,6018000000.0,26103000000.0
MCDOWELL-N.NS,2023-09-30,3M,INR,19460000000.0,26523000000.0,,,,1415000000.0,,2025000000.0,1455000000.0,1907000000.0,20231000000.0,,1455000000.0,68105000000.0,605000000.0,74965000000.0,968000000.0,3000000.0,971000000.0,,40057000000.0,3502000000.0,,,,13000000.0,3593000000.0,,12404000000.0,25391000000.0,68108000000.0,246000000.0,1415000000.0,441000000.0,,1057000000.0,0.0,1057000000.0,441000000.0,151000000.0,,0.0,12404000000.0,64512000000.0,1524000000.0,876000000.0,,710055403.0,2680000000.0,10584000000.0,,3580000000.0,,,2421000000.0,,11799000000.0,140000000.0,18324000000.0,22551000000.0,,,,,,727350853.0,68105000000.0,64512000000.0,110246000000.0,68105000000.0,2028000000.0,68105000000.0,42141000000.0,35281000000.0,2084000000.0,3091000000.0,17295450.0,,,34908000000.0
