symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
ADANIGREEN.NS,2023-03-31,3M,INR,5690000000.0,15790000000.0,-49080000000.0,38300000000.0,-230000000.0,,6650000000.0,13760000000.0,15840000000.0,10020000000.0,26450000000.0,6860000000.0,3160000000.0,15840000000.0,73040000000.0,52910000000.0,72130000000.0,1000000000.0,42150000000.0,43150000000.0,79410000000.0,,30000000.0,8490000000.0,30000000.0,790000000.0,16020000000.0,584560000000.0,11740000000.0,520000000.0,601510000000.0,0.0,930000000.0,380000000.0,22950000000.0,5020000000.0,12760000000.0,486320000000.0,499080000000.0,1310000000.0,,502050000000.0,460000000.0,518450000000.0,535480000000.0,72250000000.0,9890000000.0,4590000000.0,4520000000.0,2160000000.0,11050000000.0,1584032478.0,30000000.0,850000000.0,14300000000.0,760000000.0,670000000.0,,13110000000.0,,9380000000.0,16430000000.0,19720000000.0,100000000.0,4650000000.0,0.0,520000000.0,3570000000.0,5820000000.0,1584032478.0,73040000000.0,72250000000.0,673610000000.0,559360000000.0,542230000000.0,73500000000.0,600110000000.0,601480000000.0,520700000000.0,920000000.0,-7280000000.0
ADANIGREEN.NS,2023-09-30,3M,INR,3390000000.0,13180000000.0,,,,44250000000.0,,13830000000.0,15840000000.0,7980000000.0,57130000000.0,,,15840000000.0,79330000000.0,64800000000.0,81970000000.0,1010000000.0,123740000000.0,124750000000.0,163240000000.0,100000000.0,,,30000000.0,790000000.0,,559020000000.0,,520000000.0,639280000000.0,44250000000.0,,,,4540000000.0,12820000000.0,436210000000.0,449030000000.0,2580000000.0,2360000000.0,,460000000.0,551970000000.0,559020000000.0,78540000000.0,,4660000000.0,5780000000.0,,,1584032478.0,10000000000.0,17120000000.0,63490000000.0,760000000.0,13190000000.0,9890000000.0,,494220000000.0,1140000000.0,49150000000.0,5450000000.0,,,,,,,1584032478.0,79330000000.0,78540000000.0,714790000000.0,515540000000.0,573780000000.0,79790000000.0,635000000000.0,632820000000.0,471760000000.0,2060000000.0,-81270000000.0
