symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
IDEA.NS,2023-03-31,3M,INR,135364000000.0,16532000000.0,-954515000000.0,1378099000000.0,-10732000000.0,493000000.0,88501000000.0,5958000000.0,361800000000.0,486797000000.0,2288000000.0,2347000000.0,18000000.0,2270000000.0,486797000000.0,-743591000000.0,3003000000.0,139029000000.0,111188000000.0,122959000000.0,234147000000.0,20404000000.0,600227000000.0,148000000.0,1000000.0,163000000.0,1140102000000.0,27264000000.0,1555729000000.0,15000000.0,163000000.0,1272269000000.0,88501000000.0,0.0,58000000.0,189000000.0,250612000000.0,1892901000000.0,2143513000000.0,58000000.0,235000000.0,1010893000000.0,2013572000000.0,601214000000.0,-1883693000000.0,66279000000.0,8663000000.0,4362000000.0,135000000.0,38927000000.0,48679689205.0,107785000000.0,183000000.0,38000000.0,1140102000000.0,61832000000.0,4362000000.0,93453000000.0,535686000000.0,5482000000.0,59000000.0,278682000000.0,5000000.0,0.0,6207000000.0,-2033183000000.0,48679689205.0,-743591000000.0,-1883693000000.0,0.0,2072427000000.0,1149310000000.0,2377660000000.0,-743591000000.0,2816018000000.0,1933398000000.0,2215791000000.0,49864000000.0,1402000000.0,-461198000000.0
IDEA.NS,2023-09-30,3M,INR,150297000000.0,22064000000.0,,,,493000000.0,71107000000.0,,372287000000.0,486797000000.0,1196000000.0,6820000000.0,,,486797000000.0,-909429000000.0,4943000000.0,137058000000.0,122212000000.0,103548000000.0,225760000000.0,,606719000000.0,7978000000.0,,,1097225000000.0,,569410000000.0,,33000000.0,1124798000000.0,71107000000.0,,,,250075000000.0,1930679000000.0,2180754000000.0,40000000.0,223000000.0,,2033031000000.0,569410000000.0,-2006654000000.0,,,,128000000.0,,48679689205.0,107648000000.0,80796000000.0,-1396226000000.0,1097225000000.0,99322000000.0,4223000000.0,,564467000000.0,,5624000000.0,150297000000.0,,,,,48679689205.0,-909429000000.0,-2006654000000.0,,1974290000000.0,1021250000000.0,2406514000000.0,-909429000000.0,2883719000000.0,1837232000000.0,2277000000000.0,,804000000.0,-469661000000.0
