symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentLiabilities,DefinedPensionBenefit,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
PEL.NS,2023-03-31,3M,INR,3992700000.0,194000000.0,-1118100000.0,114833800000.0,-34600000.0,22775400000.0,25397800000.0,2896800000.0,477300000.0,37290000000.0,46269400000.0,0.0,37290000000.0,477300000.0,310590800000.0,0.0,549059400000.0,11923900000.0,45000000.0,,0.0,2721700000.0,4023200000.0,228600000.0,6682300000.0,981100000.0,0.0,805699300000.0,23102600000.0,25397800000.0,400000.0,16374800000.0,4900000.0,495108500000.0,495108500000.0,16375200000.0,1225000000.0,1578100000.0,0.0,457818500000.0,5564200000.0,306567600000.0,1404300000.0,18471800000.0,0.0,772300000.0,238663700.0,719600000.0,600000.0,1301500000.0,190980000000.0,3643900000.0,-200000.0,719600000.0,2202500000.0,463946300000.0,8979400000.0,11204300000.0,0.0,0.0,221400000.0,156400900000.0,238663700.0,310590800000.0,306567600000.0,14671800000.0,837521400000.0,805699300000.0,495108500000.0,310590800000.0,526930600000.0,288462000000.0,515006700000.0,7211600000.0,421300000.0,0.0,537135500000.0
PEL.NS,2023-09-30,3M,INR,4348700000.0,374400000.0,,,,22775400000.0,190016000000.0,,449300000.0,27972300000.0,39161800000.0,,,449300000.0,287101300000.0,5000000.0,573763800000.0,10121300000.0,,480600000.0,,20000000.0,1769700000.0,,5590600000.0,,,785100300000.0,23018000000.0,190016000000.0,,,,497999000000.0,497999000000.0,,1568000000.0,,,470026700000.0,5590600000.0,285331600000.0,,16709100000.0,,,224663700.0,,286652000000.0,1749700000.0,,5103300000.0,3329600000.0,,5585600000.0,497652800000.0,11189500000.0,10121300000.0,,,,,224663700.0,287101300000.0,285331600000.0,13799400000.0,816451100000.0,785100300000.0,497999000000.0,287101300000.0,529349800000.0,242687300000.0,519228500000.0,5772600000.0,,,563642500000.0
